UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 11:38 ?        00:00:01 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root         2     0  0 11:38 ?        00:00:00 [kthreadd]
root         4     2  0 11:38 ?        00:00:00 [kworker/0:0H]
root         5     2  0 11:38 ?        00:00:00 [kworker/u2:0]
root         6     2  0 11:38 ?        00:00:00 [ksoftirqd/0]
root         7     2  0 11:38 ?        00:00:00 [migration/0]
root         8     2  0 11:38 ?        00:00:00 [rcu_bh]
root         9     2  0 11:38 ?        00:00:00 [rcu_sched]
root        10     2  0 11:38 ?        00:00:00 [lru-add-drain]
root        11     2  0 11:38 ?        00:00:00 [watchdog/0]
root        13     2  0 11:38 ?        00:00:00 [kdevtmpfs]
root        14     2  0 11:38 ?        00:00:00 [netns]
root        15     2  0 11:38 ?        00:00:00 [khungtaskd]
root        16     2  0 11:38 ?        00:00:00 [writeback]
root        17     2  0 11:38 ?        00:00:00 [kintegrityd]
root        18     2  0 11:38 ?        00:00:00 [bioset]
root        19     2  0 11:38 ?        00:00:00 [bioset]
root        20     2  0 11:38 ?        00:00:00 [bioset]
root        21     2  0 11:38 ?        00:00:00 [kblockd]
root        22     2  0 11:38 ?        00:00:00 [md]
root        23     2  0 11:38 ?        00:00:00 [edac-poller]
root        24     2  0 11:38 ?        00:00:00 [watchdogd]
root        30     2  0 11:38 ?        00:00:00 [kswapd0]
root        31     2  0 11:38 ?        00:00:00 [ksmd]
root        32     2  0 11:38 ?        00:00:00 [khugepaged]
root        33     2  0 11:38 ?        00:00:00 [crypto]
root        41     2  0 11:38 ?        00:00:00 [kthrotld]
root        43     2  0 11:38 ?        00:00:00 [kmpath_rdacd]
root        44     2  0 11:38 ?        00:00:00 [kaluad]
root        45     2  0 11:38 ?        00:00:00 [kpsmoused]
root        46     2  0 11:38 ?        00:00:00 [ipv6_addrconf]
root        60     2  0 11:38 ?        00:00:00 [deferwq]
root        95     2  0 11:38 ?        00:00:00 [kauditd]
root        96     2  0 11:38 ?        00:00:00 [kworker/0:3]
root       272     2  0 11:38 ?        00:00:00 [ata_sff]
root       279     2  0 11:38 ?        00:00:00 [scsi_eh_0]
root       281     2  0 11:38 ?        00:00:00 [scsi_tmf_0]
root       282     2  0 11:38 ?        00:00:00 [scsi_eh_1]
root       283     2  0 11:38 ?        00:00:00 [scsi_tmf_1]
root       284     2  0 11:38 ?        00:00:00 [scsi_eh_2]
root       285     2  0 11:38 ?        00:00:00 [kworker/u2:2]
root       286     2  0 11:38 ?        00:00:00 [scsi_tmf_2]
